AppointmentID,AppointmentDateTime,PatientID,NHS_ID,PatientFirstName,PatientLastName,PatientDOB,PatientPostcode,ClinicName,Specialty,ProviderID,ProviderName,DiagnosisCode,DiagnosisDescription,AppointmentStatus
A1030,12/07/2025 08:10,P620,1350082724,William,Bradley,05/06/1957,NP19 7JG,University Hospital,Cardiology,D21,Dr. Evans,L20.9,"Atopic dermatitis, unspecified",Attended
A1031,12/07/2025 08:10,P514,1511617829,Jessica,Butler,09/12/1951,NP35 7SC,Royal Glamorgan,Gastroenterology,D33,Dr. Roberts,E11.9,Type 2 diabetes mellitus without complications,DNA
A1032,12/07/2025 08:10,P546,5132570801,Glenn,Barnett,01/05/1968,LL36 2BX,Prince Charles,Orthopaedics,D67,Dr. Williams,S82.1,Fracture of upper end of tibia,Attended
A1033,12/07/2025 08:10,P543,8932821836,Billie,Ebert,10/09/2003,CF36 4BY,Royal Glamorgan,Dermatology,D88,Dr. Davies,L20.9,"Atopic dermatitis, unspecified",Attended
A1034,12/07/2025 08:10,P602,115740902,Belinda,Marvin,19/12/1979,LL37 1DM,Royal Glamorgan,Dermatology,D67,Dr. Williams,M54.5,Low back pain,Attended
A1035,12/07/2025 08:10,P539,9747347725,Chase,Reynolds,02/01/1955,NP22 6RJ,Royal Glamorgan,Gastroenterology,D12,Dr. Thomas,I10,Essential hypertension,Attended
A1036,12/07/2025 08:10,P569,430702019,John,Bonney,18/03/2002,LL33 9SF,Morriston Hospital,Neurology,D12,Dr. Thomas,M54.5,Low back pain,DNA
A1037,12/07/2025 08:10,P538,1201773687,Michael,Fender,18/06/1961,CF30 3XM,Singleton Hospital,Oncology,D12,Dr. Thomas,I10,Essential hypertension,Attended
A1038,12/07/2025 08:10,P606,292636466,Franklin,Baine,20/06/1989,CF27 1RF,Royal Glamorgan,Gastroenterology,D67,Dr. Williams,L20.9,"Atopic dermatitis, unspecified",Attended
A1039,12/07/2025 08:10,P617,9352052633,Jonathan,Guillotte,14/07/1953,SA34 3ML,Prince Charles,Orthopaedics,D21,Dr. Evans,M54.5,Low back pain,Attended
A1040,12/07/2025 08:10,P606,292636466,Franklin,Baine,20/06/1989,CF27 1RF,Royal Glamorgan,Gastroenterology,D45,Dr. Jones,E11.9,Type 2 diabetes mellitus without complications,DNA
A1041,12/07/2025 08:10,P594,7528997382,Ray,Lebeau,04/12/1967,SA21 1XK,Prince Charles,Orthopaedics,D33,Dr. Roberts,E11.9,Type 2 diabetes mellitus without complications,Attended
A1042,12/07/2025 08:10,P549,2825104442,Nydia,Fleshman,26/04/2005,CF23 4HH,Prince Charles,Orthopaedics,D21,Dr. Evans,I10,Essential hypertension,Attended
A1043,12/07/2025 08:10,P616,3446346015,Joel,Clawson,20/09/1948,NP34 3XN,Prince Charles,Orthopaedics,D33,Dr. Roberts,S82.1,Fracture of upper end of tibia,DNA
A1044,12/07/2025 08:10,P648,5540486900,Jeffrey,Longoria,01/10/1949,NP21 5SO,Royal Glamorgan,Gastroenterology,D33,Dr. Roberts,K21.9,Gastro-oesophageal reflux disease,DNA
A1045,12/07/2025 08:10,P601,9744420626,Christopher,Webb,23/02/1972,LL15 2KG,Singleton Hospital,Oncology,D45,Dr. Jones,L20.9,"Atopic dermatitis, unspecified",Attended
A1046,12/07/2025 08:10,P608,3920111346,Roosevelt,Schulze,07/01/2006,LL27 5SH,Royal Glamorgan,Dermatology,D12,Dr. Thomas,I10,Essential hypertension,Attended
A1047,12/07/2025 08:10,P556,7153427422,Tracy,Clarkson,07/05/1959,LL35 9TI,Prince Charles,Orthopaedics,D12,Dr. Thomas,J45.9,"Asthma, unspecified",Attended
A1048,12/07/2025 08:10,P615,6540640056,Beatrice,Allen,16/07/1959,CF12 1CK,Royal Glamorgan,Gastroenterology,D21,Dr. Evans,E11.9,Type 2 diabetes mellitus without complications,Attended
A1049,12/07/2025 08:10,P536,4964774724,Jamie,Weeks,11/10/1997,SA25 5SE,Singleton Hospital,Oncology,D12,Dr. Thomas,J45.9,"Asthma, unspecified",Attended
A1050,12/07/2025 08:10,P579,3205357434,Ryan,Johnson,28/09/1953,LL10 7ZC,Royal Glamorgan,Dermatology,D21,Dr. Evans,L20.9,"Atopic dermatitis, unspecified",Attended
A1051,12/07/2025 08:10,P525,8526432982,Alene,Gooding,09/05/1987,SA35 2GY,Royal Glamorgan,Dermatology,D33,Dr. Roberts,E11.9,Type 2 diabetes mellitus without complications,DNA
A1052,12/07/2025 08:10,P577,6291719010,Ruth,Hinkle,01/12/1966,SA27 5DY,Prince Charles,Orthopaedics,D12,Dr. Thomas,K21.9,Gastro-oesophageal reflux disease,DNA
A1053,12/07/2025 08:10,P517,5661049129,Mariann,Carter,22/12/1965,LL35 5XF,Singleton Hospital,Oncology,D45,Dr. Jones,E11.9,Type 2 diabetes mellitus without complications,Attended
A1054,12/07/2025 08:10,P616,3446346015,Joel,Clawson,20/09/1948,NP34 3XN,University Hospital,Cardiology,D88,Dr. Davies,E11.9,Type 2 diabetes mellitus without complications,Attended
A1055,12/07/2025 08:10,P550,2600993797,Ryan,Winn,10/12/1948,SA32 1ZJ,Singleton Hospital,Oncology,D88,Dr. Davies,I10,Essential hypertension,Attended
A1056,12/07/2025 08:10,P538,1201773687,Michael,Fender,18/06/1961,CF30 3XM,University Hospital,Cardiology,D45,Dr. Jones,S82.1,Fracture of upper end of tibia,DNA
A1057,12/07/2025 08:10,P546,5132570801,Glenn,Barnett,01/05/1968,LL36 2BX,Royal Glamorgan,Dermatology,D21,Dr. Evans,M54.5,Low back pain,Attended
A1058,12/07/2025 08:10,P524,148573762,Helen,Sharrer,11/10/2008,CF30 2PB,Prince Charles,Orthopaedics,D67,Dr. Williams,J45.9,"Asthma, unspecified",Attended
A1059,12/07/2025 08:10,P587,535215401,Jose,Gill,28/04/1958,NP26 2IZ,Prince Charles,Orthopaedics,D88,Dr. Davies,I10,Essential hypertension,Attended
A1060,12/07/2025 08:10,P588,9081949284,Donald,Roberts,23/01/1962,LL12 3SF,Singleton Hospital,Oncology,D45,Dr. Jones,M54.5,Low back pain,Attended
A1061,12/07/2025 08:10,P558,1254273158,Esther,Tucci,07/02/1941,NP33 4XF,Prince Charles,Orthopaedics,D33,Dr. Roberts,E11.9,Type 2 diabetes mellitus without complications,Attended
A1062,12/07/2025 08:10,P573,497824280,Samuel,Madera,01/03/1988,CF21 8SE,Prince Charles,Orthopaedics,D33,Dr. Roberts,K21.9,Gastro-oesophageal reflux disease,Attended
A1063,12/07/2025 08:10,P591,6016868965,Shelby,Hammon,20/01/2001,LL25 7ZC,Morriston Hospital,Neurology,D88,Dr. Davies,J45.9,"Asthma, unspecified",Attended
A1064,12/07/2025 08:10,P560,3598836171,Bryan,Allen,03/01/2008,LL37 9TZ,Prince Charles,Orthopaedics,D21,Dr. Evans,K21.9,Gastro-oesophageal reflux disease,Attended
A1065,12/07/2025 08:10,P586,8600932777,Alexander,Mcfadden,24/11/1967,LL18 4WD,Prince Charles,Orthopaedics,D45,Dr. Jones,S82.1,Fracture of upper end of tibia,Attended
A1066,12/07/2025 08:10,P566,6598774578,Tiffany,Ward,27/03/2002,CF21 5ZR,Royal Glamorgan,Dermatology,D67,Dr. Williams,E11.9,Type 2 diabetes mellitus without complications,DNA
A1067,12/07/2025 08:10,P532,2683198396,Myra,Mcclure,08/05/1969,SA15 3VX,Royal Glamorgan,Gastroenterology,D67,Dr. Williams,I10,Essential hypertension,Attended
A1068,12/07/2025 08:10,P576,4770471416,Corinne,Mendoza,21/03/2006,LL28 2CM,Morriston Hospital,Neurology,D67,Dr. Williams,K21.9,Gastro-oesophageal reflux disease,Attended
A1069,12/07/2025 08:10,P540,720356083,Francis,Goodwin,09/12/1967,SA26 9RM,Royal Glamorgan,Gastroenterology,D67,Dr. Williams,J45.9,"Asthma, unspecified",Attended
A1070,12/07/2025 08:10,P531,283802200,Michael,Stevenson,19/02/1967,CF24 2HI,Royal Glamorgan,Dermatology,D88,Dr. Davies,L20.9,"Atopic dermatitis, unspecified",Attended
A1071,12/07/2025 08:10,P505,6552352735,Anita,Ashby,07/04/1960,CF15 1CV,Prince Charles,Orthopaedics,D45,Dr. Jones,K21.9,Gastro-oesophageal reflux disease,Attended
A1072,12/07/2025 08:10,P626,2684191468,Karl,Moran,22/10/1952,CF39 6KO,Royal Glamorgan,Dermatology,D33,Dr. Roberts,E11.9,Type 2 diabetes mellitus without complications,Attended
A1073,12/07/2025 08:10,P632,9386510693,Julie,Lewis,06/05/2005,SA18 3VP,Royal Glamorgan,Dermatology,D88,Dr. Davies,K21.9,Gastro-oesophageal reflux disease,Attended
A1074,12/07/2025 08:10,P602,115740902,Belinda,Marvin,19/12/1979,LL37 1DM,Prince Charles,Orthopaedics,D12,Dr. Thomas,K21.9,Gastro-oesophageal reflux disease,Attended
A1075,12/07/2025 08:10,P596,522780253,Lillian,Pearson,27/10/1987,NP33 4YB,Royal Glamorgan,Dermatology,D88,Dr. Davies,S82.1,Fracture of upper end of tibia,Attended
A1076,12/07/2025 08:10,P509,9788282938,Carolyn,King,01/11/1944,SA17 3EK,University Hospital,Cardiology,D33,Dr. Roberts,K21.9,Gastro-oesophageal reflux disease,Attended
A1077,12/07/2025 08:10,P512,4971158170,Clarence,Sweeny,16/03/1994,SA30 4GW,Prince Charles,Orthopaedics,D88,Dr. Davies,K21.9,Gastro-oesophageal reflux disease,Attended
A1078,12/07/2025 08:10,P527,6906091948,Florrie,Duncan,07/04/2004,SA36 8TW,Prince Charles,Orthopaedics,D88,Dr. Davies,E11.9,Type 2 diabetes mellitus without complications,Attended
A1079,12/07/2025 08:10,P557,945058632,Connie,Savini,04/09/2001,CF22 8RU,University Hospital,Cardiology,D33,Dr. Roberts,M54.5,Low back pain,Attended
A1080,12/07/2025 08:10,P576,4770471416,Corinne,Mendoza,21/03/2006,LL28 2CM,University Hospital,Cardiology,D33,Dr. Roberts,M54.5,Low back pain,Attended
A1081,12/07/2025 08:10,P613,7723271123,Dario,Allen,07/11/1990,NP21 8DL,Royal Glamorgan,Gastroenterology,D12,Dr. Thomas,L20.9,"Atopic dermatitis, unspecified",DNA
A1082,12/07/2025 08:10,P543,8932821836,Billie,Ebert,10/09/2003,CF36 4BY,Royal Glamorgan,Gastroenterology,D33,Dr. Roberts,E11.9,Type 2 diabetes mellitus without complications,Attended
A1083,12/07/2025 08:10,P605,5423142598,Thomas,Spicer,07/05/1985,CF18 5LV,Singleton Hospital,Oncology,D67,Dr. Williams,I10,Essential hypertension,DNA
A1084,12/07/2025 08:10,P525,8526432982,Alene,Gooding,09/05/1987,SA35 2GY,Royal Glamorgan,Dermatology,D67,Dr. Williams,J45.9,"Asthma, unspecified",Attended
A1085,12/07/2025 08:10,P560,3598836171,Bryan,Allen,03/01/2008,LL37 9TZ,Morriston Hospital,Neurology,D67,Dr. Williams,I10,Essential hypertension,Attended
A1086,12/07/2025 08:10,P520,8146085482,Joshua,Jordan,20/03/2003,CF31 5NM,Royal Glamorgan,Dermatology,D21,Dr. Evans,I10,Essential hypertension,Attended
A1087,12/07/2025 08:10,P619,490375316,Lynn,Mclaughlin,22/01/1988,SA23 1UP,Morriston Hospital,Neurology,D33,Dr. Roberts,L20.9,"Atopic dermatitis, unspecified",Attended
A1088,12/07/2025 08:10,P641,4095691077,Carol,Dugan,10/10/1986,SA34 1ZE,University Hospital,Cardiology,D88,Dr. Davies,S82.1,Fracture of upper end of tibia,Attended
A1089,12/07/2025 08:10,P518,735554943,Maria,Knight,26/11/1948,SA18 5KE,Singleton Hospital,Oncology,D33,Dr. Roberts,M54.5,Low back pain,Attended
A1090,12/07/2025 08:10,P572,756696364,Dennis,Tays,20/12/1992,CF16 5TK,Royal Glamorgan,Dermatology,D45,Dr. Jones,S82.1,Fracture of upper end of tibia,Attended
A1091,12/07/2025 08:10,P559,3050717335,Wayne,Kershaw,04/02/2008,NP36 8OQ,Singleton Hospital,Oncology,D21,Dr. Evans,K21.9,Gastro-oesophageal reflux disease,DNA
A1092,12/07/2025 08:10,P536,4964774724,Jamie,Weeks,11/10/1997,SA25 5SE,Royal Glamorgan,Dermatology,D12,Dr. Thomas,L20.9,"Atopic dermatitis, unspecified",Attended
A1093,12/07/2025 08:10,P529,164103708,Roman,Gilson,21/03/1994,NP13 2GW,University Hospital,Cardiology,D67,Dr. Williams,M54.5,Low back pain,Attended
A1094,12/07/2025 08:10,P563,8722401334,Mabel,Conrad,06/07/1950,NP38 3YR,Singleton Hospital,Oncology,D45,Dr. Jones,K21.9,Gastro-oesophageal reflux disease,DNA
A1095,12/07/2025 08:10,P562,3557059626,Betty,Kaur,12/12/1988,CF37 6BB,Royal Glamorgan,Dermatology,D67,Dr. Williams,M54.5,Low back pain,Attended
A1096,12/07/2025 08:10,P640,4792665310,Robert,Marsh,06/04/2002,SA28 5NV,University Hospital,Cardiology,D45,Dr. Jones,J45.9,"Asthma, unspecified",DNA
A1097,12/07/2025 08:10,P639,8682902893,Maureen,Hackney,19/09/1943,NP20 2QL,Royal Glamorgan,Gastroenterology,D45,Dr. Jones,L20.9,"Atopic dermatitis, unspecified",Attended
A1098,12/07/2025 08:10,P592,2149967278,Earl,Wolf,05/03/1957,LL33 5UA,Prince Charles,Orthopaedics,D21,Dr. Evans,I10,Essential hypertension,Attended
A1099,12/07/2025 08:10,P522,6694553803,Jim,Hanauer,11/07/1961,NP18 6SF,Royal Glamorgan,Gastroenterology,D12,Dr. Thomas,I10,Essential hypertension,Attended
A1100,12/07/2025 08:10,P598,5364032167,Mary,Morales,26/03/1962,SA22 5MC,Morriston Hospital,Neurology,D12,Dr. Thomas,L20.9,"Atopic dermatitis, unspecified",Attended
A1101,12/07/2025 08:10,P529,164103708,Roman,Gilson,21/03/1994,NP13 2GW,Morriston Hospital,Neurology,D12,Dr. Thomas,K21.9,Gastro-oesophageal reflux disease,Attended
A1102,12/07/2025 08:10,P513,6340341071,Malena,Snider,20/01/1989,LL18 9HI,University Hospital,Cardiology,D33,Dr. Roberts,K21.9,Gastro-oesophageal reflux disease,DNA
A1103,12/07/2025 08:10,P636,9285632378,Robert,Konrad,24/11/1980,SA18 1XO,Morriston Hospital,Neurology,D33,Dr. Roberts,E11.9,Type 2 diabetes mellitus without complications,Attended
A1104,12/07/2025 08:10,P519,3171093324,Tiffany,Brafford,10/04/1959,NP32 4AB,Morriston Hospital,Neurology,D33,Dr. Roberts,J45.9,"Asthma, unspecified",DNA
A1105,12/07/2025 08:10,P538,1201773687,Michael,Fender,18/06/1961,CF30 3XM,Royal Glamorgan,Dermatology,D33,Dr. Roberts,J45.9,"Asthma, unspecified",Attended
A1106,12/07/2025 08:10,P604,5982643394,Beverly,Gering,28/10/1992,CF19 5XV,Royal Glamorgan,Gastroenterology,D45,Dr. Jones,L20.9,"Atopic dermatitis, unspecified",Attended
A1107,12/07/2025 08:10,P600,5862702520,Rhoda,Luna,04/11/1946,NP28 3MK,Prince Charles,Orthopaedics,D67,Dr. Williams,I10,Essential hypertension,DNA
A1108,12/07/2025 08:10,P606,292636466,Franklin,Baine,20/06/1989,CF27 1RF,Royal Glamorgan,Dermatology,D33,Dr. Roberts,S82.1,Fracture of upper end of tibia,Attended
A1109,12/07/2025 08:10,P556,7153427422,Tracy,Clarkson,07/05/1959,LL35 9TI,University Hospital,Cardiology,D12,Dr. Thomas,M54.5,Low back pain,DNA
A1110,12/07/2025 08:10,P573,497824280,Samuel,Madera,01/03/1988,CF21 8SE,Morriston Hospital,Neurology,D12,Dr. Thomas,L20.9,"Atopic dermatitis, unspecified",Attended
A1111,12/07/2025 08:10,P558,1254273158,Esther,Tucci,07/02/1941,NP33 4XF,Royal Glamorgan,Dermatology,D67,Dr. Williams,M54.5,Low back pain,DNA
A1112,12/07/2025 08:10,P648,5540486900,Jeffrey,Longoria,01/10/1949,NP21 5SO,Singleton Hospital,Oncology,D88,Dr. Davies,J45.9,"Asthma, unspecified",Attended
A1113,12/07/2025 08:10,P599,2454405946,Sarah,Powers,28/07/1966,NP28 8QF,Royal Glamorgan,Gastroenterology,D45,Dr. Jones,S82.1,Fracture of upper end of tibia,DNA
A1114,12/07/2025 08:10,P545,4622334623,David,Ashpole,13/05/1945,LL12 2SV,University Hospital,Cardiology,D45,Dr. Jones,I10,Essential hypertension,DNA
A1115,12/07/2025 08:10,P633,3072400741,Jeffrey,Foslien,06/09/1996,LL14 5JD,Royal Glamorgan,Gastroenterology,D33,Dr. Roberts,E11.9,Type 2 diabetes mellitus without complications,Attended
A1116,12/07/2025 08:10,P601,9744420626,Christopher,Webb,23/02/1972,LL15 2KG,Morriston Hospital,Neurology,D45,Dr. Jones,E11.9,Type 2 diabetes mellitus without complications,Attended
A1117,12/07/2025 08:10,P529,164103708,Roman,Gilson,21/03/1994,NP13 2GW,Singleton Hospital,Oncology,D33,Dr. Roberts,L20.9,"Atopic dermatitis, unspecified",Attended
A1118,12/07/2025 08:10,P536,4964774724,Jamie,Weeks,11/10/1997,SA25 5SE,Morriston Hospital,Neurology,D21,Dr. Evans,K21.9,Gastro-oesophageal reflux disease,Attended
A1119,12/07/2025 08:10,P564,2312161559,Paul,Dickerson,17/07/2008,SA29 5JO,Royal Glamorgan,Dermatology,D67,Dr. Williams,M54.5,Low back pain,Attended
A1120,12/07/2025 08:10,P574,3367895326,Holly,Krell,02/01/1944,NP26 9XQ,Singleton Hospital,Oncology,D88,Dr. Davies,E11.9,Type 2 diabetes mellitus without complications,DNA
A1121,12/07/2025 08:10,P538,1201773687,Michael,Fender,18/06/1961,CF30 3XM,Royal Glamorgan,Dermatology,D12,Dr. Thomas,I10,Essential hypertension,DNA
A1122,12/07/2025 08:10,P568,5900540227,David,Caplinger,06/03/1950,SA31 9DI,University Hospital,Cardiology,D67,Dr. Williams,L20.9,"Atopic dermatitis, unspecified",Attended
A1123,12/07/2025 08:10,P636,9285632378,Robert,Konrad,24/11/1980,SA18 1XO,Royal Glamorgan,Dermatology,D45,Dr. Jones,M54.5,Low back pain,Attended
A1124,12/07/2025 08:10,P543,8932821836,Billie,Ebert,10/09/2003,CF36 4BY,Royal Glamorgan,Gastroenterology,D21,Dr. Evans,K21.9,Gastro-oesophageal reflux disease,Attended
A1125,12/07/2025 08:10,P626,2684191468,Karl,Moran,22/10/1952,CF39 6KO,University Hospital,Cardiology,D88,Dr. Davies,J45.9,"Asthma, unspecified",Attended
A1126,12/07/2025 08:10,P630,8668713787,Charlotte,Hamilton,24/12/2003,SA14 4WK,University Hospital,Cardiology,D12,Dr. Thomas,L20.9,"Atopic dermatitis, unspecified",Attended
A1127,12/07/2025 08:10,P616,3446346015,Joel,Clawson,20/09/1948,NP34 3XN,Prince Charles,Orthopaedics,D67,Dr. Williams,K21.9,Gastro-oesophageal reflux disease,Attended
A1128,12/07/2025 08:10,P542,9117640423,Brenda,Marshall,04/06/1988,LL10 3GF,Morriston Hospital,Neurology,D67,Dr. Williams,L20.9,"Atopic dermatitis, unspecified",Attended
A1129,12/07/2025 08:10,P548,8210029819,William,Snyder,27/03/1976,CF22 2XX,Singleton Hospital,Oncology,D88,Dr. Davies,K21.9,Gastro-oesophageal reflux disease,Attended
A1130,12/07/2025 08:10,P547,4578225062,Michael,Reyna,15/06/1969,SA28 3PI,Royal Glamorgan,Gastroenterology,D67,Dr. Williams,I10,Essential hypertension,Attended
A1131,12/07/2025 08:10,P536,4964774724,Jamie,Weeks,11/10/1997,SA25 5SE,Morriston Hospital,Neurology,D12,Dr. Thomas,K21.9,Gastro-oesophageal reflux disease,Attended
A1132,12/07/2025 08:10,P556,7153427422,Tracy,Clarkson,07/05/1959,LL35 9TI,Royal Glamorgan,Gastroenterology,D33,Dr. Roberts,K21.9,Gastro-oesophageal reflux disease,Attended
A1133,12/07/2025 08:10,P602,115740902,Belinda,Marvin,19/12/1979,LL37 1DM,Singleton Hospital,Oncology,D12,Dr. Thomas,S82.1,Fracture of upper end of tibia,Attended
A1134,12/07/2025 08:10,P574,3367895326,Holly,Krell,02/01/1944,NP26 9XQ,Singleton Hospital,Oncology,D21,Dr. Evans,J45.9,"Asthma, unspecified",Attended
A1135,12/07/2025 08:10,P513,6340341071,Malena,Snider,20/01/1989,LL18 9HI,Royal Glamorgan,Dermatology,D67,Dr. Williams,M54.5,Low back pain,DNA
A1136,12/07/2025 08:10,P561,9815283804,Jerome,Hamilton,12/07/1960,CF26 3PP,Singleton Hospital,Oncology,D45,Dr. Jones,M54.5,Low back pain,DNA
A1137,12/07/2025 08:10,P622,2055099469,Roberta,Pena,17/01/1947,NP25 7PQ,University Hospital,Cardiology,D21,Dr. Evans,M54.5,Low back pain,Attended
A1138,12/07/2025 08:10,P539,9747347725,Chase,Reynolds,02/01/1955,NP22 6RJ,Singleton Hospital,Oncology,D88,Dr. Davies,L20.9,"Atopic dermatitis, unspecified",Attended
A1139,12/07/2025 08:10,P577,6291719010,Ruth,Hinkle,01/12/1966,SA27 5DY,Morriston Hospital,Neurology,D33,Dr. Roberts,S82.1,Fracture of upper end of tibia,Attended
A1140,12/07/2025 08:10,P509,9788282938,Carolyn,King,01/11/1944,SA17 3EK,Royal Glamorgan,Gastroenterology,D45,Dr. Jones,S82.1,Fracture of upper end of tibia,Attended
A1141,12/07/2025 08:10,P574,3367895326,Holly,Krell,02/01/1944,NP26 9XQ,Prince Charles,Orthopaedics,D21,Dr. Evans,M54.5,Low back pain,Attended
A1142,12/07/2025 08:10,P562,3557059626,Betty,Kaur,12/12/1988,CF37 6BB,Prince Charles,Orthopaedics,D45,Dr. Jones,K21.9,Gastro-oesophageal reflux disease,Attended
A1143,12/07/2025 08:10,P625,2591940991,Sammie,Malkani,23/03/1942,LL23 6IH,Royal Glamorgan,Gastroenterology,D67,Dr. Williams,I10,Essential hypertension,Attended
A1144,12/07/2025 08:10,P647,8622752879,Ronald,Canizales,24/02/1980,NP18 3KV,Prince Charles,Orthopaedics,D21,Dr. Evans,I10,Essential hypertension,DNA
A1145,12/07/2025 08:10,P539,9747347725,Chase,Reynolds,02/01/1955,NP22 6RJ,University Hospital,Cardiology,D33,Dr. Roberts,M54.5,Low back pain,Attended
A1146,12/07/2025 08:10,P639,8682902893,Maureen,Hackney,19/09/1943,NP20 2QL,Morriston Hospital,Neurology,D21,Dr. Evans,I10,Essential hypertension,Attended
A1147,12/07/2025 08:10,P527,6906091948,Florrie,Duncan,07/04/2004,SA36 8TW,Morriston Hospital,Neurology,D33,Dr. Roberts,J45.9,"Asthma, unspecified",Attended
A1148,12/07/2025 08:10,P573,497824280,Samuel,Madera,01/03/1988,CF21 8SE,Royal Glamorgan,Gastroenterology,D12,Dr. Thomas,S82.1,Fracture of upper end of tibia,Attended
A1149,12/07/2025 08:10,P550,2600993797,Ryan,Winn,10/12/1948,SA32 1ZJ,University Hospital,Cardiology,D33,Dr. Roberts,K21.9,Gastro-oesophageal reflux disease,DNA
A1150,12/07/2025 08:10,P519,3171093324,Tiffany,Brafford,10/04/1959,NP32 4AB,Morriston Hospital,Neurology,D33,Dr. Roberts,S82.1,Fracture of upper end of tibia,Attended
A1151,12/07/2025 08:10,P602,115740902,Belinda,Marvin,19/12/1979,LL37 1DM,Royal Glamorgan,Gastroenterology,D33,Dr. Roberts,E11.9,Type 2 diabetes mellitus without complications,Attended
A1152,12/07/2025 08:10,P532,2683198396,Myra,Mcclure,08/05/1969,SA15 3VX,University Hospital,Cardiology,D67,Dr. Williams,L20.9,"Atopic dermatitis, unspecified",Attended
A1153,12/07/2025 08:10,P584,2661527591,Johnny,Viloria,09/04/1968,CF10 3LE,Prince Charles,Orthopaedics,D67,Dr. Williams,S82.1,Fracture of upper end of tibia,Attended
A1154,12/07/2025 08:10,P595,7351921202,Mark,Worek,21/06/1970,NP13 3BR,Morriston Hospital,Neurology,D33,Dr. Roberts,L20.9,"Atopic dermatitis, unspecified",Attended
A1155,12/07/2025 08:10,P503,573635722,Lindsay,Eskew,28/04/2006,LL11 3BW,Royal Glamorgan,Dermatology,D88,Dr. Davies,S82.1,Fracture of upper end of tibia,Attended
A1156,12/07/2025 08:10,P561,9815283804,Jerome,Hamilton,12/07/1960,CF26 3PP,University Hospital,Cardiology,D12,Dr. Thomas,K21.9,Gastro-oesophageal reflux disease,Attended
A1157,12/07/2025 08:10,P576,4770471416,Corinne,Mendoza,21/03/2006,LL28 2CM,Morriston Hospital,Neurology,D45,Dr. Jones,I10,Essential hypertension,Attended
A1158,12/07/2025 08:10,P609,8429081410,Rachel,Lopez,17/12/1941,CF37 8DY,Morriston Hospital,Neurology,D45,Dr. Jones,I10,Essential hypertension,DNA
A1159,12/07/2025 08:10,P643,1111506353,Patricia,Barlow,08/03/2005,NP25 4DR,Singleton Hospital,Oncology,D33,Dr. Roberts,S82.1,Fracture of upper end of tibia,DNA
A1160,12/07/2025 08:10,P577,6291719010,Ruth,Hinkle,01/12/1966,SA27 5DY,Prince Charles,Orthopaedics,D45,Dr. Jones,K21.9,Gastro-oesophageal reflux disease,Attended
A1161,12/07/2025 08:10,P620,1350082724,William,Bradley,05/06/1957,NP19 7JG,Singleton Hospital,Oncology,D21,Dr. Evans,S82.1,Fracture of upper end of tibia,DNA
A1162,12/07/2025 08:10,P599,2454405946,Sarah,Powers,28/07/1966,NP28 8QF,Prince Charles,Orthopaedics,D45,Dr. Jones,L20.9,"Atopic dermatitis, unspecified",Attended
A1163,12/07/2025 08:10,P562,3557059626,Betty,Kaur,12/12/1988,CF37 6BB,Prince Charles,Orthopaedics,D88,Dr. Davies,E11.9,Type 2 diabetes mellitus without complications,Attended
A1164,12/07/2025 08:10,P589,6943257137,Arnold,Horton,19/08/1977,SA22 2WT,Royal Glamorgan,Dermatology,D12,Dr. Thomas,K21.9,Gastro-oesophageal reflux disease,Attended
A1165,12/07/2025 08:10,P594,7528997382,Ray,Lebeau,04/12/1967,SA21 1XK,Singleton Hospital,Oncology,D67,Dr. Williams,M54.5,Low back pain,Attended
A1166,12/07/2025 08:10,P519,3171093324,Tiffany,Brafford,10/04/1959,NP32 4AB,Prince Charles,Orthopaedics,D12,Dr. Thomas,K21.9,Gastro-oesophageal reflux disease,Attended
A1167,12/07/2025 08:10,P618,1323896783,Becky,Vallejos,25/06/2003,CF36 4PA,Royal Glamorgan,Dermatology,D33,Dr. Roberts,K21.9,Gastro-oesophageal reflux disease,Attended
A1168,12/07/2025 08:10,P592,2149967278,Earl,Wolf,05/03/1957,LL33 5UA,Royal Glamorgan,Gastroenterology,D67,Dr. Williams,K21.9,Gastro-oesophageal reflux disease,DNA
A1169,12/07/2025 08:10,P647,8622752879,Ronald,Canizales,24/02/1980,NP18 3KV,Royal Glamorgan,Dermatology,D88,Dr. Davies,E11.9,Type 2 diabetes mellitus without complications,Attended
A1170,12/07/2025 08:10,P568,5900540227,David,Caplinger,06/03/1950,SA31 9DI,Singleton Hospital,Oncology,D88,Dr. Davies,L20.9,"Atopic dermatitis, unspecified",Attended
A1171,12/07/2025 08:10,P529,164103708,Roman,Gilson,21/03/1994,NP13 2GW,Royal Glamorgan,Gastroenterology,D33,Dr. Roberts,K21.9,Gastro-oesophageal reflux disease,Attended
A1172,12/07/2025 08:10,P615,6540640056,Beatrice,Allen,16/07/1959,CF12 1CK,Royal Glamorgan,Dermatology,D33,Dr. Roberts,E11.9,Type 2 diabetes mellitus without complications,Attended
A1173,12/07/2025 08:10,P574,3367895326,Holly,Krell,02/01/1944,NP26 9XQ,Royal Glamorgan,Gastroenterology,D12,Dr. Thomas,M54.5,Low back pain,DNA
A1174,12/07/2025 08:10,P598,5364032167,Mary,Morales,26/03/1962,SA22 5MC,Prince Charles,Orthopaedics,D12,Dr. Thomas,M54.5,Low back pain,DNA
